Num steps: 5000     Return: 952.1   Time: 0:00:44
Num steps: 10000    Return: 951.9   Time: 0:01:27
Num steps: 15000    Return: 951.6   Time: 0:02:13
Num steps: 20000    Return: 952.2   Time: 0:02:57
Num steps: 25000    Return: 952.5   Time: 0:03:40
Num steps: 30000    Return: 951.3   Time: 0:04:24
Num steps: 35000    Return: 952.7   Time: 0:05:09
Num steps: 40000    Return: 950.2   Time: 0:05:52
Num steps: 45000    Return: 952.4   Time: 0:06:35
Num steps: 50000    Return: 937.9   Time: 0:07:22
Num steps: 55000    Return: 939.3   Time: 0:08:05
Num steps: 60000    Return: 936.8   Time: 0:08:47
Num steps: 65000    Return: 940.0   Time: 0:09:32
Num steps: 70000    Return: 939.0   Time: 0:10:18
Num steps: 75000    Return: 937.0   Time: 0:11:03
Num steps: 80000    Return: 938.4   Time: 0:11:46
Num steps: 85000    Return: 938.4   Time: 0:12:28
Num steps: 90000    Return: 939.1   Time: 0:13:11
Num steps: 95000    Return: 940.1   Time: 0:13:54
Num steps: 100000   Return: 938.3   Time: 0:14:43
Num steps: 105000   Return: 938.7   Time: 0:15:29
Num steps: 110000   Return: 937.2   Time: 0:16:13
Num steps: 115000   Return: 938.3   Time: 0:16:59
Num steps: 120000   Return: 936.5   Time: 0:17:45
Num steps: 125000   Return: 936.0   Time: 0:18:31
Num steps: 130000   Return: 936.5   Time: 0:19:14
Num steps: 135000   Return: 939.8   Time: 0:19:57
Num steps: 140000   Return: 938.5   Time: 0:20:39
Num steps: 145000   Return: 937.4   Time: 0:21:22
Num steps: 150000   Return: 924.0   Time: 0:22:09
Num steps: 155000   Return: 926.1   Time: 0:22:52
Num steps: 160000   Return: 925.4   Time: 0:23:35
Num steps: 165000   Return: 924.8   Time: 0:24:18
Num steps: 170000   Return: 925.7   Time: 0:25:01
Num steps: 175000   Return: 925.8   Time: 0:25:44
Num steps: 180000   Return: 926.0   Time: 0:26:28
Num steps: 185000   Return: 925.1   Time: 0:27:10
Num steps: 190000   Return: 924.7   Time: 0:27:53
Num steps: 195000   Return: 926.8   Time: 0:28:38
Num steps: 200000   Return: 911.8   Time: 0:29:28
Num steps: 205000   Return: 910.4   Time: 0:30:11
Num steps: 210000   Return: 912.6   Time: 0:30:54
Num steps: 215000   Return: 910.8   Time: 0:31:37
Num steps: 220000   Return: 912.0   Time: 0:32:19
Num steps: 225000   Return: 909.7   Time: 0:33:02
Num steps: 230000   Return: 911.3   Time: 0:33:45
Num steps: 235000   Return: 910.7   Time: 0:34:28
Num steps: 240000   Return: 911.0   Time: 0:35:11
Num steps: 245000   Return: 910.9   Time: 0:35:55
