Num steps: 5000     Return: -92.1   Time: 0:00:21
Num steps: 10000    Return: -92.9   Time: 0:00:42
Num steps: 15000    Return: -91.8   Time: 0:01:02
Num steps: 20000    Return: -92.7   Time: 0:01:24
Num steps: 25000    Return: -91.9   Time: 0:01:44
Num steps: 30000    Return: -92.8   Time: 0:02:05
Num steps: 35000    Return: -92.6   Time: 0:02:26
Num steps: 40000    Return: -92.6   Time: 0:02:38
Num steps: 45000    Return: -92.3   Time: 0:03:03
Num steps: 50000    Return: -3.0    Time: 0:03:31
Num steps: 55000    Return: -2.7    Time: 0:03:53
Num steps: 60000    Return: -2.4    Time: 0:04:15
Num steps: 65000    Return: -2.6    Time: 0:04:37
Num steps: 70000    Return: -2.9    Time: 0:04:58
Num steps: 75000    Return: -3.0    Time: 0:05:21
Num steps: 80000    Return: -2.4    Time: 0:05:42
Num steps: 85000    Return: -2.5    Time: 0:06:04
Num steps: 90000    Return: -2.4    Time: 0:06:29
Num steps: 95000    Return: -2.8    Time: 0:06:53
Num steps: 100000   Return: -1.5    Time: 0:07:18
Num steps: 105000   Return: -2.0    Time: 0:07:40
Num steps: 110000   Return: -1.6    Time: 0:08:02
Num steps: 115000   Return: -1.7    Time: 0:08:24
Num steps: 120000   Return: -1.5    Time: 0:08:46
Num steps: 125000   Return: -2.0    Time: 0:09:07
Num steps: 130000   Return: -2.1    Time: 0:09:29
Num steps: 135000   Return: -1.8    Time: 0:09:55
Num steps: 140000   Return: -1.7    Time: 0:10:18
Num steps: 145000   Return: -1.4    Time: 0:10:40
Num steps: 150000   Return: -1.7    Time: 0:11:06
Num steps: 155000   Return: -1.6    Time: 0:11:28
Num steps: 160000   Return: -1.3    Time: 0:11:50
Num steps: 165000   Return: -1.6    Time: 0:12:11
Num steps: 170000   Return: -1.1    Time: 0:12:33
Num steps: 175000   Return: -1.7    Time: 0:12:55
Num steps: 180000   Return: -2.0    Time: 0:13:21
Num steps: 185000   Return: -1.8    Time: 0:13:45
Num steps: 190000   Return: -2.2    Time: 0:14:07
Num steps: 195000   Return: -1.5    Time: 0:14:29
Num steps: 200000   Return: -1.1    Time: 0:14:54
Num steps: 205000   Return: -1.7    Time: 0:15:16
Num steps: 210000   Return: -1.0    Time: 0:15:39
Num steps: 215000   Return: -1.5    Time: 0:16:00
Num steps: 220000   Return: -1.2    Time: 0:16:22
Num steps: 225000   Return: -1.7    Time: 0:16:49
Num steps: 230000   Return: -1.3    Time: 0:17:11
Num steps: 235000   Return: -1.0    Time: 0:17:33
Num steps: 240000   Return: -1.4    Time: 0:17:55
Num steps: 245000   Return: -1.2    Time: 0:18:17
Num steps: 250000   Return: -1.5    Time: 0:18:43
Num steps: 255000   Return: -1.5    Time: 0:19:05
Num steps: 260000   Return: -1.3    Time: 0:19:27
Num steps: 265000   Return: -1.6    Time: 0:19:49
Num steps: 270000   Return: -1.1    Time: 0:20:16
Num steps: 275000   Return: -1.1    Time: 0:20:38
Num steps: 280000   Return: -0.8    Time: 0:21:00
Num steps: 285000   Return: -0.9    Time: 0:21:21
Num steps: 290000   Return: -1.3    Time: 0:21:43
Num steps: 295000   Return: -1.0    Time: 0:22:05
Num steps: 300000   Return: -0.9    Time: 0:22:31
Num steps: 305000   Return: -1.4    Time: 0:22:52
Num steps: 310000   Return: -1.5    Time: 0:23:14
Num steps: 315000   Return: -0.9    Time: 0:23:41
Num steps: 320000   Return: -2.0    Time: 0:24:03
Num steps: 325000   Return: -1.6    Time: 0:24:25
Num steps: 330000   Return: -1.3    Time: 0:24:47
Num steps: 335000   Return: -1.3    Time: 0:25:09
Num steps: 340000   Return: -1.1    Time: 0:25:30
Num steps: 345000   Return: -1.9    Time: 0:25:53
Num steps: 350000   Return: -1.9    Time: 0:26:19
Num steps: 355000   Return: -1.7    Time: 0:26:40
Num steps: 360000   Return: -1.6    Time: 0:27:07
Num steps: 365000   Return: -1.4    Time: 0:27:30
Num steps: 370000   Return: -1.1    Time: 0:27:52
Num steps: 375000   Return: -1.0    Time: 0:28:14
Num steps: 380000   Return: -1.2    Time: 0:28:35
Num steps: 385000   Return: -1.1    Time: 0:28:57
Num steps: 390000   Return: -1.5    Time: 0:29:19
Num steps: 395000   Return: -1.6    Time: 0:29:41
Num steps: 400000   Return: -1.2    Time: 0:30:08
Num steps: 405000   Return: -1.6    Time: 0:30:35
Num steps: 410000   Return: -1.4    Time: 0:30:57
Num steps: 415000   Return: -1.3    Time: 0:31:19
Num steps: 420000   Return: -1.3    Time: 0:31:40
Num steps: 425000   Return: -1.5    Time: 0:32:03
Num steps: 430000   Return: -1.1    Time: 0:32:24
Num steps: 435000   Return: -1.4    Time: 0:32:46
Num steps: 440000   Return: -1.7    Time: 0:33:08
Num steps: 445000   Return: -1.0    Time: 0:33:30
Num steps: 450000   Return: -1.4    Time: 0:34:01
Num steps: 455000   Return: -1.5    Time: 0:34:23
Num steps: 460000   Return: -1.7    Time: 0:34:45
Num steps: 465000   Return: -1.4    Time: 0:35:06
Num steps: 470000   Return: -1.7    Time: 0:35:28
Num steps: 475000   Return: -1.6    Time: 0:35:50
Num steps: 480000   Return: -1.5    Time: 0:36:12
Num steps: 485000   Return: -1.9    Time: 0:36:34
Num steps: 490000   Return: -2.0    Time: 0:36:55
Num steps: 495000   Return: -1.6    Time: 0:37:22
Num steps: 500000   Return: -1.4    Time: 0:37:49
Num steps: 505000   Return: -2.2    Time: 0:38:11
Num steps: 510000   Return: -1.8    Time: 0:38:33
Num steps: 515000   Return: -1.8    Time: 0:38:54
Num steps: 520000   Return: -2.0    Time: 0:39:17
Num steps: 525000   Return: -1.5    Time: 0:39:38
Num steps: 530000   Return: -2.3    Time: 0:40:00
Num steps: 535000   Return: -1.7    Time: 0:40:23
Num steps: 540000   Return: -2.4    Time: 0:40:50
Num steps: 545000   Return: -1.6    Time: 0:41:12
Num steps: 550000   Return: -2.7    Time: 0:41:38
Num steps: 555000   Return: -2.4    Time: 0:42:00
Num steps: 560000   Return: -3.7    Time: 0:42:22
Num steps: 565000   Return: -3.0    Time: 0:42:44
Num steps: 570000   Return: -3.7    Time: 0:43:06
Num steps: 575000   Return: -2.7    Time: 0:43:28
Num steps: 580000   Return: -3.2    Time: 0:43:49
Num steps: 585000   Return: -3.3    Time: 0:44:17
Num steps: 590000   Return: -3.1    Time: 0:44:39
Num steps: 595000   Return: -2.5    Time: 0:45:01
Num steps: 600000   Return: -4.3    Time: 0:45:26
Num steps: 605000   Return: -4.5    Time: 0:45:49
Num steps: 610000   Return: -4.7    Time: 0:46:10
Num steps: 615000   Return: -5.3    Time: 0:46:33
Num steps: 620000   Return: -4.6    Time: 0:46:54
Num steps: 625000   Return: -4.7    Time: 0:47:17
Num steps: 630000   Return: -4.4    Time: 0:47:44
Num steps: 635000   Return: -4.5    Time: 0:48:06
Num steps: 640000   Return: -4.4    Time: 0:48:28
Num steps: 645000   Return: -4.7    Time: 0:48:50
Num steps: 650000   Return: -15.2   Time: 0:49:15
Num steps: 655000   Return: -14.9   Time: 0:49:37
Num steps: 660000   Return: -15.5   Time: 0:49:59
Num steps: 665000   Return: -14.4   Time: 0:50:22
Num steps: 670000   Return: -14.9   Time: 0:50:43
Num steps: 675000   Return: -15.3   Time: 0:51:11
Num steps: 680000   Return: -15.0   Time: 0:51:33
Num steps: 685000   Return: -14.9   Time: 0:51:55
Num steps: 690000   Return: -14.8   Time: 0:52:17
Num steps: 695000   Return: -15.7   Time: 0:52:40
Num steps: 700000   Return: -20.2   Time: 0:53:06
Num steps: 705000   Return: -20.1   Time: 0:53:27
Num steps: 710000   Return: -20.0   Time: 0:53:49
Num steps: 715000   Return: -19.7   Time: 0:54:11
Num steps: 720000   Return: -20.1   Time: 0:54:38
Num steps: 725000   Return: -20.1   Time: 0:55:00
Num steps: 730000   Return: -19.8   Time: 0:55:22
Num steps: 735000   Return: -20.1   Time: 0:55:44
Num steps: 740000   Return: -19.8   Time: 0:56:06
Num steps: 745000   Return: -20.3   Time: 0:56:28
Num steps: 750000   Return: -33.7   Time: 0:56:54
Num steps: 755000   Return: -33.3   Time: 0:57:16
Num steps: 760000   Return: -33.6   Time: 0:57:38
Num steps: 765000   Return: -33.6   Time: 0:58:05
Num steps: 770000   Return: -33.2   Time: 0:58:27
Num steps: 775000   Return: -33.7   Time: 0:58:49
Num steps: 780000   Return: -33.3   Time: 0:59:10
Num steps: 785000   Return: -33.9   Time: 0:59:32
Num steps: 790000   Return: -33.4   Time: 0:59:55
Num steps: 795000   Return: -33.2   Time: 1:00:16
Num steps: 800000   Return: -54.5   Time: 1:00:42
Num steps: 805000   Return: -54.0   Time: 1:01:04
Num steps: 810000   Return: -55.1   Time: 1:01:32
Num steps: 815000   Return: -53.5   Time: 1:01:54
Num steps: 820000   Return: -54.2   Time: 1:02:16
Num steps: 825000   Return: -54.0   Time: 1:02:38
Num steps: 830000   Return: -53.9   Time: 1:03:00
Num steps: 835000   Return: -54.2   Time: 1:03:22
Num steps: 840000   Return: -54.2   Time: 1:03:43
Num steps: 845000   Return: -54.5   Time: 1:04:06
Num steps: 850000   Return: -65.8   Time: 1:04:32
Num steps: 855000   Return: -66.9   Time: 1:04:58
Num steps: 860000   Return: -66.1   Time: 1:05:20
Num steps: 865000   Return: -66.5   Time: 1:05:43
Num steps: 870000   Return: -66.0   Time: 1:06:05
Num steps: 875000   Return: -66.2   Time: 1:06:27
Num steps: 880000   Return: -66.5   Time: 1:06:48
Num steps: 885000   Return: -65.9   Time: 1:07:10
Num steps: 890000   Return: -66.6   Time: 1:07:32
Num steps: 895000   Return: -66.2   Time: 1:07:54
Num steps: 900000   Return: -67.0   Time: 1:08:26
Num steps: 905000   Return: -67.0   Time: 1:08:48
Num steps: 910000   Return: -67.2   Time: 1:09:10
Num steps: 915000   Return: -67.5   Time: 1:09:31
Num steps: 920000   Return: -67.4   Time: 1:09:53
Num steps: 925000   Return: -67.7   Time: 1:10:15
Num steps: 930000   Return: -67.1   Time: 1:10:37
Num steps: 935000   Return: -67.3   Time: 1:10:59
Num steps: 940000   Return: -67.2   Time: 1:11:22
Num steps: 945000   Return: -67.1   Time: 1:11:48
Num steps: 950000   Return: -77.0   Time: 1:12:14
Num steps: 955000   Return: -77.4   Time: 1:12:36
Num steps: 960000   Return: -76.7   Time: 1:12:58
Num steps: 965000   Return: -76.7   Time: 1:13:19
Num steps: 970000   Return: -76.8   Time: 1:13:42
Num steps: 975000   Return: -77.5   Time: 1:14:04
Num steps: 980000   Return: -77.6   Time: 1:14:26
Num steps: 985000   Return: -76.5   Time: 1:14:49
Num steps: 990000   Return: -77.4   Time: 1:15:16
Num steps: 995000   Return: -76.9   Time: 1:15:37
Num steps: 1000000   Return: -89.9   Time: 1:16:03
Num steps: 1005000   Return: -90.1   Time: 1:16:25
Num steps: 1010000   Return: -89.8   Time: 1:16:47
Num steps: 1015000   Return: -90.3   Time: 1:17:09
Num steps: 1020000   Return: -89.6   Time: 1:17:31
Num steps: 1025000   Return: -90.5   Time: 1:17:53
Num steps: 1030000   Return: -89.8   Time: 1:18:17
Num steps: 1035000   Return: -89.5   Time: 1:18:42
Num steps: 1040000   Return: -90.2   Time: 1:19:04
Num steps: 1045000   Return: -90.2   Time: 1:19:26
Num steps: 1050000   Return: -105.4   Time: 1:19:52
Num steps: 1055000   Return: -106.0   Time: 1:20:13
Num steps: 1060000   Return: -105.9   Time: 1:20:36
Num steps: 1065000   Return: -105.6   Time: 1:20:57
Num steps: 1070000   Return: -105.7   Time: 1:21:19
Num steps: 1075000   Return: -105.7   Time: 1:21:43
Num steps: 1080000   Return: -105.6   Time: 1:22:08
Num steps: 1085000   Return: -105.7   Time: 1:22:31
Num steps: 1090000   Return: -105.8   Time: 1:22:52
Num steps: 1095000   Return: -105.6   Time: 1:23:15
Num steps: 1100000   Return: -117.0   Time: 1:23:41
Num steps: 1105000   Return: -116.9   Time: 1:24:02
Num steps: 1110000   Return: -116.6   Time: 1:24:25
Num steps: 1115000   Return: -116.4   Time: 1:24:47
Num steps: 1120000   Return: -116.6   Time: 1:25:11
Num steps: 1125000   Return: -116.4   Time: 1:25:35
Num steps: 1130000   Return: -117.1   Time: 1:25:57
Num steps: 1135000   Return: -116.8   Time: 1:26:20
Num steps: 1140000   Return: -116.5   Time: 1:26:42
Num steps: 1145000   Return: -116.6   Time: 1:27:04
Num steps: 1150000   Return: -132.4   Time: 1:27:30
Num steps: 1155000   Return: -132.8   Time: 1:27:53
Num steps: 1160000   Return: -132.6   Time: 1:28:14
Num steps: 1165000   Return: -132.5   Time: 1:28:40
Num steps: 1170000   Return: -132.8   Time: 1:29:04
Num steps: 1175000   Return: -132.4   Time: 1:29:26
Num steps: 1180000   Return: -132.9   Time: 1:29:48
Num steps: 1185000   Return: -132.8   Time: 1:30:10
Num steps: 1190000   Return: -133.3   Time: 1:30:32
Num steps: 1195000   Return: -132.7   Time: 1:30:54
Num steps: 1200000   Return: -143.5   Time: 1:31:20
Num steps: 1205000   Return: -145.0   Time: 1:31:42
Num steps: 1210000   Return: -144.2   Time: 1:32:09
Num steps: 1215000   Return: -144.2   Time: 1:32:32
Num steps: 1220000   Return: -143.9   Time: 1:32:53
Num steps: 1225000   Return: -144.4   Time: 1:33:16
Num steps: 1230000   Return: -144.3   Time: 1:33:37
Num steps: 1235000   Return: -144.3   Time: 1:34:00
Num steps: 1240000   Return: -144.4   Time: 1:34:22
Num steps: 1245000   Return: -144.3   Time: 1:34:43
Num steps: 1250000   Return: -140.0   Time: 1:35:10
Num steps: 1255000   Return: -139.4   Time: 1:35:36
Num steps: 1260000   Return: -140.3   Time: 1:35:59
Num steps: 1265000   Return: -139.8   Time: 1:36:21
Num steps: 1270000   Return: -139.9   Time: 1:36:42
Num steps: 1275000   Return: -140.2   Time: 1:37:04
