Num steps: 5000     Return: -2.7    Time: 0:00:25
Num steps: 10000    Return: -5.9    Time: 0:00:56
Num steps: 15000    Return: -8.1    Time: 0:01:21
Num steps: 20000    Return: -8.7    Time: 0:01:47
Num steps: 25000    Return: -8.5    Time: 0:02:13
Num steps: 30000    Return: -13.7   Time: 0:02:39
Num steps: 35000    Return: -17.3   Time: 0:03:05
Num steps: 40000    Return: -27.1   Time: 0:03:30
Num steps: 45000    Return: -15.4   Time: 0:03:55
Num steps: 50000    Return: -29.0   Time: 0:04:25
Num steps: 55000    Return: -33.9   Time: 0:04:51
Num steps: 60000    Return: -27.8   Time: 0:05:16
Num steps: 65000    Return: -64.9   Time: 0:05:41
Num steps: 70000    Return: -66.4   Time: 0:06:07
Num steps: 75000    Return: -63.4   Time: 0:06:31
Num steps: 80000    Return: -38.6   Time: 0:06:59
Num steps: 85000    Return: -76.5   Time: 0:07:24
Num steps: 90000    Return: -63.4   Time: 0:07:54
Num steps: 95000    Return: -56.0   Time: 0:08:18
Num steps: 100000   Return: -102.7   Time: 0:08:43
