Num steps: 5000     Return: 87.8    Time: 0:00:29
Num steps: 10000    Return: 88.1    Time: 0:00:58
Num steps: 15000    Return: 88.4    Time: 0:01:28
Num steps: 20000    Return: 87.9    Time: 0:01:58
Num steps: 25000    Return: 88.5    Time: 0:02:27
Num steps: 30000    Return: 85.6    Time: 0:02:57
Num steps: 35000    Return: 88.6    Time: 0:03:26
Num steps: 40000    Return: 88.7    Time: 0:03:56
Num steps: 45000    Return: 87.7    Time: 0:04:25
Num steps: 50000    Return: 109.5   Time: 0:04:59
Num steps: 55000    Return: 113.5   Time: 0:05:29
Num steps: 60000    Return: 111.2   Time: 0:05:59
Num steps: 65000    Return: 112.6   Time: 0:06:29
Num steps: 70000    Return: 110.6   Time: 0:06:58
Num steps: 75000    Return: 113.8   Time: 0:07:28
Num steps: 80000    Return: 111.5   Time: 0:07:58
Num steps: 85000    Return: 113.5   Time: 0:08:27
Num steps: 90000    Return: 108.5   Time: 0:08:57
Num steps: 95000    Return: 110.4   Time: 0:09:26
Num steps: 100000   Return: 190.8   Time: 0:10:00
Num steps: 105000   Return: 172.5   Time: 0:10:29
Num steps: 110000   Return: 177.8   Time: 0:10:59
Num steps: 115000   Return: 181.6   Time: 0:11:29
Num steps: 120000   Return: 174.3   Time: 0:11:59
Num steps: 125000   Return: 183.7   Time: 0:12:29
Num steps: 130000   Return: 165.0   Time: 0:12:59
Num steps: 135000   Return: 190.4   Time: 0:13:29
Num steps: 140000   Return: 186.1   Time: 0:13:59
Num steps: 145000   Return: 176.7   Time: 0:14:28
Num steps: 150000   Return: 184.8   Time: 0:15:02
Num steps: 155000   Return: 181.4   Time: 0:15:32
Num steps: 160000   Return: 187.9   Time: 0:16:02
Num steps: 165000   Return: 191.3   Time: 0:16:32
Num steps: 170000   Return: 182.2   Time: 0:17:02
Num steps: 175000   Return: 170.7   Time: 0:17:32
Num steps: 180000   Return: 183.0   Time: 0:18:03
Num steps: 185000   Return: 173.3   Time: 0:18:33
Num steps: 190000   Return: 187.7   Time: 0:19:03
Num steps: 195000   Return: 192.1   Time: 0:19:33
Num steps: 200000   Return: 165.4   Time: 0:20:06
Num steps: 205000   Return: 168.9   Time: 0:20:36
