Num steps: 5000     Return: 85.0    Time: 0:00:16
Num steps: 10000    Return: 129.0   Time: 0:00:33
Num steps: 15000    Return: 103.2   Time: 0:00:49
Num steps: 20000    Return: 102.6   Time: 0:01:06
Num steps: 25000    Return: 113.4   Time: 0:01:25
Num steps: 30000    Return: 198.8   Time: 0:01:42
Num steps: 35000    Return: 190.8   Time: 0:01:58
Num steps: 40000    Return: 500.2   Time: 0:02:17
Num steps: 45000    Return: 1000.0   Time: 0:02:38
Num steps: 50000    Return: 1000.0   Time: 0:03:00
Num steps: 55000    Return: 1000.0   Time: 0:03:21
Num steps: 60000    Return: 1000.0   Time: 0:03:42
Num steps: 65000    Return: 1000.0   Time: 0:04:03
Num steps: 70000    Return: 1000.0   Time: 0:04:25
Num steps: 75000    Return: 1000.0   Time: 0:04:48
Num steps: 80000    Return: 1000.0   Time: 0:05:11
Num steps: 85000    Return: 1000.0   Time: 0:05:31
Num steps: 90000    Return: 1000.0   Time: 0:05:53
Num steps: 95000    Return: 1000.0   Time: 0:06:14
Num steps: 100000   Return: 1000.0   Time: 0:06:36
