Num steps: 5000     Return: 952.1   Time: 0:00:43
Num steps: 10000    Return: 951.9   Time: 0:01:27
Num steps: 15000    Return: 951.6   Time: 0:02:08
Num steps: 20000    Return: 952.2   Time: 0:02:50
Num steps: 25000    Return: 952.5   Time: 0:03:32
Num steps: 30000    Return: 951.3   Time: 0:04:16
Num steps: 35000    Return: 952.7   Time: 0:04:58
Num steps: 40000    Return: 950.2   Time: 0:05:41
Num steps: 45000    Return: 952.4   Time: 0:06:26
Num steps: 50000    Return: 930.1   Time: 0:07:15
Num steps: 55000    Return: 931.7   Time: 0:08:00
Num steps: 60000    Return: 928.7   Time: 0:08:44
Num steps: 65000    Return: 932.5   Time: 0:09:25
Num steps: 70000    Return: 931.3   Time: 0:10:07
Num steps: 75000    Return: 928.5   Time: 0:10:48
Num steps: 80000    Return: 930.3   Time: 0:11:31
Num steps: 85000    Return: 930.1   Time: 0:12:13
Num steps: 90000    Return: 931.0   Time: 0:12:56
Num steps: 95000    Return: 932.4   Time: 0:13:40
Num steps: 100000   Return: 927.3   Time: 0:14:28
Num steps: 105000   Return: 928.9   Time: 0:15:09
Num steps: 110000   Return: 925.9   Time: 0:15:51
Num steps: 115000   Return: 927.3   Time: 0:16:32
Num steps: 120000   Return: 925.0   Time: 0:17:13
Num steps: 125000   Return: 925.6   Time: 0:17:55
Num steps: 130000   Return: 925.9   Time: 0:18:37
Num steps: 135000   Return: 928.7   Time: 0:19:18
Num steps: 140000   Return: 927.3   Time: 0:19:59
Num steps: 145000   Return: 927.5   Time: 0:20:43
Num steps: 150000   Return: 914.7   Time: 0:21:32
Num steps: 155000   Return: 915.4   Time: 0:22:15
Num steps: 160000   Return: 914.1   Time: 0:22:59
Num steps: 165000   Return: 913.9   Time: 0:23:41
Num steps: 170000   Return: 915.3   Time: 0:24:25
Num steps: 175000   Return: 915.4   Time: 0:25:07
Num steps: 180000   Return: 914.8   Time: 0:25:49
Num steps: 185000   Return: 914.9   Time: 0:26:31
Num steps: 190000   Return: 914.4   Time: 0:27:13
Num steps: 195000   Return: 916.7   Time: 0:27:54
Num steps: 200000   Return: 907.9   Time: 0:28:38
Num steps: 205000   Return: 910.0   Time: 0:29:20
Num steps: 210000   Return: 910.9   Time: 0:30:04
Num steps: 215000   Return: 908.0   Time: 0:30:48
Num steps: 220000   Return: 911.2   Time: 0:31:31
Num steps: 225000   Return: 905.5   Time: 0:32:13
Num steps: 230000   Return: 910.1   Time: 0:32:54
Num steps: 235000   Return: 911.2   Time: 0:33:38
Num steps: 240000   Return: 908.5   Time: 0:34:23
Num steps: 245000   Return: 910.8   Time: 0:35:07
Num steps: 250000   Return: 907.0   Time: 0:35:51
Num steps: 255000   Return: 907.4   Time: 0:36:32
Num steps: 260000   Return: 906.8   Time: 0:37:13
Num steps: 265000   Return: 906.2   Time: 0:37:55
Num steps: 270000   Return: 905.0   Time: 0:38:36
Num steps: 275000   Return: 910.9   Time: 0:39:18
Num steps: 280000   Return: 910.5   Time: 0:40:02
Num steps: 285000   Return: 910.0   Time: 0:40:47
Num steps: 290000   Return: 906.1   Time: 0:41:31
Num steps: 295000   Return: 908.9   Time: 0:42:15
Num steps: 300000   Return: 867.5   Time: 0:43:01
Num steps: 305000   Return: 863.7   Time: 0:43:42
