Num steps: 5000     Return: -92.1   Time: 0:00:21
Num steps: 10000    Return: -92.9   Time: 0:00:42
Num steps: 15000    Return: -91.8   Time: 0:01:03
Num steps: 20000    Return: -92.7   Time: 0:01:23
Num steps: 25000    Return: -91.9   Time: 0:01:44
Num steps: 30000    Return: -92.8   Time: 0:02:04
Num steps: 35000    Return: -92.6   Time: 0:02:25
Num steps: 40000    Return: -92.6   Time: 0:02:45
Num steps: 45000    Return: -92.3   Time: 0:02:58
Num steps: 50000    Return: -87.0   Time: 0:03:26
Num steps: 55000    Return: -86.8   Time: 0:03:49
Num steps: 60000    Return: -86.7   Time: 0:04:11
Num steps: 65000    Return: -86.7   Time: 0:04:32
Num steps: 70000    Return: -87.0   Time: 0:04:54
Num steps: 75000    Return: -87.1   Time: 0:05:15
Num steps: 80000    Return: -86.9   Time: 0:05:37
Num steps: 85000    Return: -86.1   Time: 0:05:59
Num steps: 90000    Return: -86.6   Time: 0:06:20
Num steps: 95000    Return: -87.4   Time: 0:06:43
Num steps: 100000   Return: -81.1   Time: 0:07:12
Num steps: 105000   Return: -81.8   Time: 0:07:33
Num steps: 110000   Return: -81.8   Time: 0:07:55
Num steps: 115000   Return: -81.0   Time: 0:08:16
Num steps: 120000   Return: -80.9   Time: 0:08:38
Num steps: 125000   Return: -81.8   Time: 0:08:59
Num steps: 130000   Return: -81.9   Time: 0:09:21
Num steps: 135000   Return: -81.8   Time: 0:09:43
Num steps: 140000   Return: -81.9   Time: 0:10:06
Num steps: 145000   Return: -81.2   Time: 0:10:31
Num steps: 150000   Return: -119.1   Time: 0:10:56
Num steps: 155000   Return: -119.3   Time: 0:11:18
Num steps: 160000   Return: -119.3   Time: 0:11:40
Num steps: 165000   Return: -119.6   Time: 0:12:01
Num steps: 170000   Return: -118.9   Time: 0:12:23
Num steps: 175000   Return: -118.6   Time: 0:12:44
Num steps: 180000   Return: -119.6   Time: 0:13:06
Num steps: 185000   Return: -119.9   Time: 0:13:28
Num steps: 190000   Return: -120.1   Time: 0:13:55
Num steps: 195000   Return: -118.8   Time: 0:14:17
Num steps: 200000   Return: -91.4   Time: 0:14:42
Num steps: 205000   Return: -90.0   Time: 0:15:04
Num steps: 210000   Return: -89.6   Time: 0:15:26
Num steps: 215000   Return: -90.7   Time: 0:15:48
Num steps: 220000   Return: -89.0   Time: 0:16:10
Num steps: 225000   Return: -89.9   Time: 0:16:31
Num steps: 230000   Return: -89.5   Time: 0:16:53
Num steps: 235000   Return: -89.5   Time: 0:17:20
Num steps: 240000   Return: -90.2   Time: 0:17:42
Num steps: 245000   Return: -88.9   Time: 0:18:04
Num steps: 250000   Return: -90.2   Time: 0:18:30
Num steps: 255000   Return: -90.2   Time: 0:18:51
Num steps: 260000   Return: -89.9   Time: 0:19:13
Num steps: 265000   Return: -90.0   Time: 0:19:35
Num steps: 270000   Return: -90.3   Time: 0:19:57
Num steps: 275000   Return: -89.3   Time: 0:20:18
Num steps: 280000   Return: -88.5   Time: 0:20:45
Num steps: 285000   Return: -89.5   Time: 0:21:07
Num steps: 290000   Return: -89.7   Time: 0:21:29
Num steps: 295000   Return: -89.1   Time: 0:21:50
Num steps: 300000   Return: -19.3   Time: 0:22:16
Num steps: 305000   Return: -21.1   Time: 0:22:37
Num steps: 310000   Return: -22.8   Time: 0:22:59
Num steps: 315000   Return: -20.4   Time: 0:23:21
Num steps: 320000   Return: -21.4   Time: 0:23:42
Num steps: 325000   Return: -18.9   Time: 0:24:09
Num steps: 330000   Return: -20.1   Time: 0:24:31
Num steps: 335000   Return: -21.0   Time: 0:24:52
Num steps: 340000   Return: -21.5   Time: 0:25:14
Num steps: 345000   Return: -22.0   Time: 0:25:35
Num steps: 350000   Return: -38.5   Time: 0:26:01
Num steps: 355000   Return: -38.7   Time: 0:26:23
Num steps: 360000   Return: -39.1   Time: 0:26:45
Num steps: 365000   Return: -38.4   Time: 0:27:06
Num steps: 370000   Return: -38.5   Time: 0:27:33
Num steps: 375000   Return: -38.3   Time: 0:27:55
Num steps: 380000   Return: -38.4   Time: 0:28:17
Num steps: 385000   Return: -37.5   Time: 0:28:38
Num steps: 390000   Return: -38.2   Time: 0:29:00
Num steps: 395000   Return: -38.3   Time: 0:29:21
Num steps: 400000   Return: -19.9   Time: 0:29:46
Num steps: 405000   Return: -20.8   Time: 0:30:08
Num steps: 410000   Return: -20.1   Time: 0:30:30
Num steps: 415000   Return: -20.0   Time: 0:30:56
Num steps: 420000   Return: -19.5   Time: 0:31:18
Num steps: 425000   Return: -21.3   Time: 0:31:40
Num steps: 430000   Return: -20.8   Time: 0:32:02
Num steps: 435000   Return: -20.3   Time: 0:32:24
Num steps: 440000   Return: -20.6   Time: 0:32:45
Num steps: 445000   Return: -19.7   Time: 0:33:06
Num steps: 450000   Return: -15.6   Time: 0:33:31
Num steps: 455000   Return: -15.4   Time: 0:33:53
Num steps: 460000   Return: -16.0   Time: 0:34:21
Num steps: 465000   Return: -14.6   Time: 0:34:43
Num steps: 470000   Return: -14.5   Time: 0:35:04
Num steps: 475000   Return: -16.0   Time: 0:35:26
Num steps: 480000   Return: -15.6   Time: 0:35:48
Num steps: 485000   Return: -15.0   Time: 0:36:09
Num steps: 490000   Return: -15.9   Time: 0:36:31
Num steps: 495000   Return: -15.6   Time: 0:36:52
Num steps: 500000   Return: -11.5   Time: 0:37:17
Num steps: 505000   Return: -11.7   Time: 0:37:44
Num steps: 510000   Return: -12.3   Time: 0:38:06
Num steps: 515000   Return: -12.4   Time: 0:38:27
Num steps: 520000   Return: -13.3   Time: 0:38:49
Num steps: 525000   Return: -5.1    Time: 0:39:11
Num steps: 530000   Return: -12.4   Time: 0:39:33
Num steps: 535000   Return: -11.8   Time: 0:39:54
Num steps: 540000   Return: -11.8   Time: 0:40:17
Num steps: 545000   Return: -12.1   Time: 0:40:38
