Num steps: 5000     Return: -206.2   Time: 0:00:22
Num steps: 10000    Return: -153.6   Time: 0:00:46
Num steps: 15000    Return: -131.1   Time: 0:01:09
Num steps: 20000    Return: -136.0   Time: 0:01:34
Num steps: 25000    Return: -130.4   Time: 0:02:02
Num steps: 30000    Return: -360.5   Time: 0:02:28
Num steps: 35000    Return: -64.4   Time: 0:02:52
Num steps: 40000    Return: -125.3   Time: 0:03:16
Num steps: 45000    Return: -169.7   Time: 0:03:40
Num steps: 50000    Return: -176.8   Time: 0:04:05
Num steps: 55000    Return: -152.6   Time: 0:04:28
Num steps: 60000    Return: -31.6   Time: 0:04:53
Num steps: 65000    Return: -40.0   Time: 0:05:18
Num steps: 70000    Return: 1.3     Time: 0:05:46
Num steps: 75000    Return: 21.5    Time: 0:06:10
Num steps: 80000    Return: 2.0     Time: 0:06:35
Num steps: 85000    Return: 55.2    Time: 0:06:58
Num steps: 90000    Return: 42.3    Time: 0:07:23
Num steps: 95000    Return: 94.7    Time: 0:07:46
Num steps: 100000   Return: 201.2   Time: 0:08:11
