Num steps: 5000     Return: 87.8    Time: 0:00:28
Num steps: 10000    Return: 88.1    Time: 0:00:57
Num steps: 15000    Return: 88.4    Time: 0:01:26
Num steps: 20000    Return: 87.9    Time: 0:01:55
Num steps: 25000    Return: 88.5    Time: 0:02:24
Num steps: 30000    Return: 85.6    Time: 0:02:53
Num steps: 35000    Return: 88.6    Time: 0:03:22
Num steps: 40000    Return: 88.7    Time: 0:03:51
Num steps: 45000    Return: 87.7    Time: 0:04:20
Num steps: 50000    Return: 93.2    Time: 0:04:52
Num steps: 55000    Return: 91.0    Time: 0:05:22
Num steps: 60000    Return: 93.7    Time: 0:05:50
Num steps: 65000    Return: 97.0    Time: 0:06:19
Num steps: 70000    Return: 97.0    Time: 0:06:48
Num steps: 75000    Return: 92.4    Time: 0:07:17
Num steps: 80000    Return: 91.2    Time: 0:07:46
Num steps: 85000    Return: 91.2    Time: 0:08:15
Num steps: 90000    Return: 94.9    Time: 0:08:44
Num steps: 95000    Return: 92.2    Time: 0:09:13
Num steps: 100000   Return: 141.1   Time: 0:09:45
Num steps: 105000   Return: 151.3   Time: 0:10:15
Num steps: 110000   Return: 151.0   Time: 0:10:43
Num steps: 115000   Return: 156.4   Time: 0:11:11
Num steps: 120000   Return: 151.3   Time: 0:11:41
Num steps: 125000   Return: 149.7   Time: 0:12:10
Num steps: 130000   Return: 138.6   Time: 0:12:39
Num steps: 135000   Return: 172.7   Time: 0:13:09
Num steps: 140000   Return: 154.4   Time: 0:13:38
Num steps: 145000   Return: 138.3   Time: 0:14:07
Num steps: 150000   Return: 235.1   Time: 0:14:40
Num steps: 155000   Return: 249.0   Time: 0:15:10
Num steps: 160000   Return: 284.1   Time: 0:15:39
Num steps: 165000   Return: 250.4   Time: 0:16:09
Num steps: 170000   Return: 260.5   Time: 0:16:39
Num steps: 175000   Return: 227.2   Time: 0:17:08
Num steps: 180000   Return: 221.8   Time: 0:17:38
Num steps: 185000   Return: 238.0   Time: 0:18:08
Num steps: 190000   Return: 268.1   Time: 0:18:37
Num steps: 195000   Return: 200.9   Time: 0:19:07
Num steps: 200000   Return: 286.6   Time: 0:19:41
Num steps: 205000   Return: 288.3   Time: 0:20:10
Num steps: 210000   Return: 296.8   Time: 0:20:39
