Num steps: 5000     Return: 54.6    Time: 0:00:16
Num steps: 10000    Return: 146.2   Time: 0:00:34
Num steps: 15000    Return: 101.8   Time: 0:00:51
Num steps: 20000    Return: 121.0   Time: 0:01:08
Num steps: 25000    Return: 111.4   Time: 0:01:25
Num steps: 30000    Return: 185.8   Time: 0:01:43
Num steps: 35000    Return: 270.6   Time: 0:02:01
Num steps: 40000    Return: 274.2   Time: 0:02:19
Num steps: 45000    Return: 245.2   Time: 0:02:36
Num steps: 50000    Return: 1000.0   Time: 0:02:58
Num steps: 55000    Return: 1000.0   Time: 0:03:19
Num steps: 60000    Return: 1000.0   Time: 0:03:41
Num steps: 65000    Return: 1000.0   Time: 0:04:02
Num steps: 70000    Return: 1000.0   Time: 0:04:25
Num steps: 75000    Return: 1000.0   Time: 0:04:45
Num steps: 80000    Return: 1000.0   Time: 0:05:07
Num steps: 85000    Return: 1000.0   Time: 0:05:29
Num steps: 90000    Return: 1000.0   Time: 0:05:51
Num steps: 95000    Return: 1000.0   Time: 0:06:13
Num steps: 100000   Return: 1000.0   Time: 0:06:36
